静謐,せいひつ
鴬嬢,うぐいすじょう
盲縞,めくらじま
紆余,うよ
鴬豆,うぐいすまめ
廃墟,はいきょ
檄文,げきぶん
艷色,えんしょく
神佑,しんゆう
馬蝿,うまばえ
翠柳,すいりゅう
蘇方,すおう
俎上,そじょう
粒々,りゅうりゅう
一疋,いっぴき
破戒無慙,はかいむざん
自侭,じまま
無辜,むこ
翠緑玉,すいりょくぎょく
長薯,ながいも
橋杭,はしぐい
唖鈴,あれい
僻村,へきそん
三酉,さんのとり
椴松,とどまつ
捩子,ねじ
海酸漿,うみほおずき
初茸,はつたけ
猪牙,ちょき
飄然,ひょうぜん
唐櫃,からびつ
叉木,またぎ
金牌,きんぱい
膠質,こうしつ
蘭方,らんぽう
花菖蒲,はなあやめ
花菖蒲,はなしょうぶ
蓬髪,ほうはつ
辺陬,へんすう
柱聯,ちゅうれん
讚仰,さんこう
豆粕,まめかす
歴々,れきれき
麦稈,ばっかん
僻地,へきち
錆色,さびいろ
其者,それしゃ
邏卒,らそつ
杣木,そまぎ
池塘,ちとう
衣裳,いしょう
自信満々,じしんまんまん
黒黴,くろかび
彌蔵,やぞう
味醂,みりん
理智,りち
厨房,ちゅうぼう
薩摩焼,さつまやき
津々,しんしん
竿頭,かんとう
盲唖,もうあ
眸子,ぼうし
珊瑚礁,さんごしょう
男鰥,おとこやもめ
鴻恩,こうおん
雀羅,じゃくら
瑞垣,みずがき
倦怠期,けんたいき
醍醐味,だいごみ
奔湍,ほんたん
紡錘,ぼうすい
紡錘,つむ
古狐,ふるぎつね
霊廟,れいびょう
鳩舎,きゅうしゃ
濡仏,ぬれぼとけ
笠子,かさご
血汐,ちしお
鷺舞,さぎまい
出歯龜,でばかめ
曠野,こうや
曠野,あらの
須彌山,しゅみせん
内廓,ないかく
鉄漿蜻蛉,おはぐろとんぼ
権輿,けんよ
蟻酸,ぎさん
詫状,わびじょう
淫佚,いんいつ
少慾,しょうよく
恋々,れんれん
朧気,おぼろげ
阿鼻地獄,あびじごく
労咳,ろうがい
叛徒,はんと
薄羽蜉蝣,うすばかげろう
不羈,ふき
松毬,まつぼっくり
松毬,まつかさ
癩病,らいびょう
碧空,へきくう
驍将,ぎょうしょう
不銹鋼,ふしゅうこう
空嘔,からえずき
嬉涙,うれしなみだ
天麩羅,てんぷら
賎民,せんみん
仏掌薯,つくねいも
地曳,じびき
囈言,うわごと
槍術,そうじゅつ
脈々,みゃくみゃく
刻々,こっこく
棉花,めんか
龕灯提灯,がんどうぢょうちん
綴方,つづりかた
麻雀,ま゜じゃん
瑞象,ずいしょう
勢至菩薩,せいしぼさつ
別々,べつべつ
俘囚,ふしゅう
大牢,たいろう
草鞋虫,わらじむし
左褄,ひだりづま
七種粥,ななくさがゆ
金襴,きんらん
沛然,はいぜん
無缺,むけつ
灸治,きゅうじ
敵愾心,てきがいしん
尨毛,むくげ
獰悪,どうあく
相槌,あいづち
弥勒,みろく
論纂,ろんさん
阿弥陀籤,あみだくじ
謀叛,むほん
法帖,ほうじょう
男伊達,おとこだて
残闕,ざんけつ
腰紐,こしひも
親爺,おやじ
才智,さいち
嬌笑,きょうしょう
手焙,てあぶり
侠勇,きょうゆう
腱鞘炎,けんしょうえん
糸蒟蒻,いとごんにゃく
紙幟,かみのぼり
灯心蜻蛉,とうしみとんぼ
灯心蜻蛉,とうすみとんぼ
灯心蜻蛉,とうしんとんぼ
二化螟虫,にかめいちゅう
床框,とこがまち
尨犬,むくいぬ
汲水,きゅうすい
棺桶,かんおけ
夜叉,やしゃ
革綴,かわとじ
贅沢,ぜいたく
菠薐草,ほうれんそう
〆切,しめきり
都鄙,とひ
浮塵子,うんか
妓夫,ぎふ
妓夫,ぎゅう
樫鳥,かしどり
貴賎,きせん
槿花,きんか
花籤,はなくじ
稀有,けう
廟宇,びょうう
大和撫子,やまとなでしこ
紋帖,もんちょう
四角号碼,しかくごうま
大蒜,にんにく
迦陵頻伽,かりょうびんが
牢屋,ろうや
坐高,ざこう
弗素,ふっそ
鼠取,ねずみとり
袴着,はかまぎ
蟹股,がにまた
薩摩隼人,さつまはやと
風塵,ふうじん
露坐,ろざ
輪廓,りんかく
夢寐,むび
頬白,ほおじろ
利鞘,りざや
藤蔓,ふじづる
尤物,ゆうぶつ
固陋,ころう
聰明,そうめい
恩寵,おんちょう
黄燐,おうりん
蟻巻,ありまき
茶漉,ちゃこし
行々子,ぎょうぎょうし
燎原,りょうげん
金鳳花,きんぽうげ
裂罅,れっか
深編笠,ふかあみがさ
水秤,みずばかり
淋病,りんびょう
鴬色,うぐいすいろ
絹紬,けんちゅう
肋材,ろくざい
芝蝦,しばえび
移徙,わたまし
愛妾,あいしょう
缺本,けっぽん
濡色,ぬれいろ
綴目,とじめ
笑窪,えくぼ
肉慾,にくよく
艷福,えんぷく
瀝青炭,れきせいたん
種籾,たねもみ
堅牢,けんろう
紐付,ひもつき
制癌剤,せいがんざい
尠少,せんしょう
孺子,じゅし
眷族,けんぞく
賞盃,しょうはい
峻烈,しゅんれつ
目睫,もくしょう
坐像,ざぞう
惨憺,さんたん
寒垢離,かんごり
破瓜期,はかき
介党鱈,すけとうだら
種々相,しゅじゅそう
面繋,おもがい
独鈷,とっこ
玉什,ぎょくじゅう
瘡気,かさけ
僭主,せんしゅ
亥年,いどし
紅鮭,べにざけ
弓矢八幡,ゆみやはちまん
銀盃,ぎんぱい
几帳,きちょう
孵卵,ふらん
鱗茎,りんけい
妾宅,しょうたく
徐々,じょじょ
底曳網,そこびきあみ
辣韮,らっきょう
壊疽,えそ
驟雨,しゅうう
内股膏薬,うちまたごうやく
黄櫨染,こうろぜん
楊枝,ようじ
自彊,じきょう
曳光弾,えいこうだん
鷹狩,たかがり
撰者,せんじゃ
鋸歯,きょし
侠骨,きょうこつ
脆弱,ぜいじゃく
綴錦,つづれにしき
几帳面,きちょうめん
槍持,やりもち
狭窄,きょうさく
埴生,はにゅう
贋金,にせがね
仇浪,あだなみ
諺文,おんもん
猪首,いくび
下手糞,へたくそ
神祇,じんぎ
儼然,げんぜん
臍下丹田,せいかたんでん
彫心鏤骨,ちょうしんるこつ
翌々,よくよく
押釦,おしぼたん
匪賊,ひぞく
駿足,しゅんそく
行住坐臥,ぎょうじゅうざが
畦道,あぜみち
篭目,かごめ
和讚,わさん
真贋,しんがん
荒磯,ありそ
荒磯,あらいそ
杏仁,きょうにん
鹵簿,ろぼ
牢獄,ろうごく
利休鼠,りきゅうねずみ
俯角,ふかく
訓蒙,くんもう
雀色,すずめいろ
横槍,よこやり
鈴蘭,すずらん
間歇泉,かんけつせん
蒔絵,まきえ
脱兎,だっと
俗塵,ぞくじん
老妓,ろうぎ
浮游生物,ふゆうせいぶつ
灸穴,きゅうけつ
慇懃無礼,いんぎんぶれい
雛鳥,ひなどり
孤雁,こがん
王蟲,おうむ
坪菫,つぼすみれ
網襦袢,あみじばん
鎌髭,かまひげ
正麩,しょうふ
慈姑,くわい
大島紬,おおしまつむぎ
紫蘭,しらん
蓄膿症,ちくのうしょう
塵界,じんかい
頑癬,がんせん
面舵,おもかじ
一瀉千里,いっしゃせんり
禁苑,きんえん
宏量,こうりょう
雅馴,がじゅん
麝香猫,じゃこうねこ
血漿,けっしょう
白瓜,しろうり
国々,くにぐに
栄螺,さざえ
銀杏形,いちょうがた
順々,じゅんじゅん
毛繻子,けじゅす
梳毛,そもう
軽鬆土,けいそうど
墨烏賊,すみいか
木蘭色,もくらんじき
澆季,ぎょうき
鍋鉉,なべづる
藻汐草,もしおぐさ
欽定,きんてい
轆轤台,ろくろだい
茫漠,ぼうばく
臘月,ろうげつ
珪素,けいそ
旱天,かんてん
乞丐,こつがい
穿井,せんせい
撥音,ばちおと
撥音,はつおん
草雲雀,くさひばり
九仞,きゅうじん
豊饒,ほうじょう
秘訣,ひけつ
恬然,てんぜん
悍馬,かんば
天空海闊,てんくうかいかつ
廻心,えしん
螺子,ねじ
薙刀酸漿,なぎなたほおずき
一張一弛,いっちょういっし
背鰭,せびれ
儒艮,じゅごん
洛陽,らくよう
